mid,name,rank,birthd0y,sign,level,vipType,vipStatus,following,fans
631612890,'bili_51840917450',5000,0,0,0,1,0,8,0
631612894,'bili_69624356192',10000,0,0,0,0,0,10,0
631612911,'拿命抽胡桃',10000,0,1,1,2,1,25,3
631612914,'bili_89010762222',5000,0,0,0,1,0,2,0
631612916,'星火燎原阿娜尔调研队',10000,0,1,0,0,0,2,14
631612920,'正经的玖曦',5000,0,0,0,0,0,5,0
631612923,'是楠楠小仙女呐',5000,0,0,0,0,0,4,0
631612927,'天天头疼007',10000,0,0,0,0,0,5,0
631612932,'taozhongyi66',5000,0,0,0,0,0,2,0
631612943,'bili_23519250798',10000,0,0,1,0,0,67,0
631612944,'丽丽又瘦了',5000,0,0,0,0,0,2,0
631612946,'bili_22745932981',5000,0,0,0,0,0,4,0
631612959,'bili_70862967894',10000,0,0,0,0,0,0,0
631612975,'bili_35291731257',5000,0,0,0,0,0,1,0
631612976,'FMIN敏子',10000,0,0,0,1,0,3,0
631612978,'bili_10241058016',5000,0,0,0,0,0,1,0
631612984,'柏盛Victory',10000,1,1,1,1,0,28,1
631612991,'云丛景致',10000,0,0,0,0,0,35,1
631613001,'bili_29138409824',5000,0,0,0,0,0,9,0
631613009,'陈铭生e',10000,0,0,0,0,0,0,0
631613016,'1啥啥啥2',10000,0,0,1,0,0,56,0
631613024,'bili_99578959012',5000,0,0,0,0,0,1,0
631613027,'bili_83521193255',5000,0,0,0,0,0,1,0
631613030,'路过的暗影大人',10000,0,1,1,2,1,507,192
631613034,'水色落双wh',10000,0,1,0,0,0,18,0
631613040,'bili_73076923565',10000,0,0,0,0,0,16,0
631613041,'思考的开',10000,0,0,0,0,0,7,0
631613043,'枚川库紫',10000,1,1,1,1,0,105,0
631613045,'bili_93130849125',5000,0,0,0,0,0,1,0
631613046,'bili_32214473568',5000,0,0,0,1,0,0,0
631613053,'谈感情伤钱吧',10000,0,0,0,0,0,34,0
631613055,'w王宝林',10000,1,0,0,0,0,4,0
631613056,'城府工',5000,0,0,0,0,0,32,1
631613057,'bili_96660080208',10000,0,0,0,0,0,2,0
631613063,'bili_59073048475',5000,0,0,0,0,0,9,0
631613064,'bili_54802956384',10000,0,0,0,0,0,3,0
631613067,'bili_84983447872',5000,0,0,0,1,0,0,0
631613082,'风行2008',10000,0,0,0,0,0,10,0
631613083,'Tokyomi',10000,0,0,0,0,0,4,0
631613089,'指树骂槐',10000,0,0,1,1,1,0,0
631613091,'bili_16031645475',5000,0,0,0,0,0,3,0
631613093,'小周可以哒',10000,0,0,0,0,0,8,0
631613096,'bili_77871516822',10000,0,0,1,0,0,31,0
631613100,'bili_69407751746',5000,0,0,0,0,0,1,0
631613102,'明少66',10000,0,0,0,0,0,13,0
631613104,'inKsansO',10000,0,0,1,1,1,292,4
631613105,'芜湖jyv',10000,0,0,0,0,0,1,0
631613110,'bili_48145028566',5000,0,0,0,0,0,2,0
631613111,'bili_41105801214',5000,0,0,0,0,0,9,0
631613114,'爱意失衡',10000,0,1,1,2,1,7,0
631613126,'yiioik',10000,0,0,0,0,0,0,0
631613138,'bili_57187983330',5000,0,0,0,0,0,1,0
631613143,'陌刀客',10000,0,0,0,0,0,6,0
631613146,'bili_13220707653',5000,0,0,0,0,0,1,0
